m_size,threads,time
3000,1,214
6000,1,735
8000,1,1320
10000,1,2055
3000,2,98
6000,2,380
8000,2,688
10000,2,1020
3000,3,62
6000,3,248
8000,3,480
10000,3,704
3000,4,69
6000,4,186
8000,4,369
10000,4,536
3000,5,44
6000,5,157
8000,5,263
10000,5,425
3000,6,51
6000,6,132
8000,6,283
10000,6,362
3000,7,50
6000,7,109
8000,7,203
10000,7,338
3000,8,47
6000,8,122
8000,8,203
10000,8,284
3000,9,45
6000,9,93
8000,9,168
10000,9,287
3000,10,36
6000,10,135
8000,10,232
10000,10,283
3000,11,31
6000,11,122
8000,11,218
10000,11,298
3000,12,38
6000,12,80
8000,12,196
10000,12,217
