,m_size,threads,time,time1,time2,time3,speedup
3,10000,1,2032.3333333333333,2034,2055,2008,1.0
7,10000,2,1024.0,1028,1020,1024,1.9847005208333333
11,10000,3,701.3333333333334,695,704,705,2.8978136882129273
15,10000,4,528.6666666666666,522,536,528,3.8442622950819674
19,10000,5,437.0,460,425,426,4.650648360030511
23,10000,6,362.6666666666667,373,362,353,5.603860294117647
27,10000,7,332.3333333333333,321,338,338,6.115346038114343
31,10000,8,277.3333333333333,264,284,284,7.328125
35,10000,9,289.6666666666667,295,287,287,7.016110471806674
39,10000,10,276.0,262,283,283,7.363526570048309
43,10000,11,287.3333333333333,266,298,298,7.07308584686775
47,10000,12,242.66666666666666,294,217,217,8.375
